# heavy-ion-computing environment record
# generated by environment/verify_environment.py
python	3.11.16
platform	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43
gcc	PASS	gcc (conda-forge gcc 15.3.0-4) 15.3.0
g++	PASS	g++ (conda-forge gcc 15.3.0-4) 15.3.0
cmake	PASS	cmake version 4.4.3
git	PASS	git version 2.55.0
root-config	PASS	6.40.02
numpy	PASS	version 2.4.6
scipy	PASS	version 1.17.1
matplotlib	PASS	version 3.11.1
yaml	PASS	version 6.0.3
uproot	PASS	version 5.7.6
awkward	PASS	version 2.13.0
vector	PASS	version 1.8.1
hist	PASS	version 2.11.0
mplhep	PASS	version 1.3.3
particle	PASS	version 1.0.0
iminuit	PASS	version 2.32.0
pandas	PASS	version 3.0.5
uproot round-trip	PASS	TTree written and read back
ROOT (PyROOT)	PASS	version 6.40.02
ROOT TFile/TTree/TH1	PASS	100 entries written and read
ROOT RDataFrame	PASS	sum over 10 entries correct
PYTHIA 8	PASS	10 pp events at 13 TeV, 1473 final-state particles
FastJet	PASS	version 3.5.1.4, anti-kT R=0.4 -> 2 jets
HepMC3 (pyhepmc)	SKIP	not installed (ModuleNotFoundError)
LHAPDF	SKIP	not installed (ModuleNotFoundError)
