# heavy-ion-computing environment record
# generated by environment/verify_environment.py
# NOTE: this record is from the CLOUD CONTAINER (Track B), not WSL2.
# Running environment/verify_environment.py on WSL2 writes versions_installed.txt.
python	3.11.15
platform	Linux-6.18.44-fc-v21-x86_64-with-glibc2.39
gcc	PASS	gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
g++	PASS	g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
cmake	PASS	cmake version 3.28.3
git	PASS	git version 2.43.0
root-config	SKIP	not on PATH
numpy	PASS	version 2.4.6
scipy	PASS	version 1.17.1
matplotlib	PASS	version 3.11.1
yaml	PASS	version 6.0.3
uproot	PASS	version 5.7.6
awkward	PASS	version 2.13.0
vector	PASS	version 1.8.1
hist	PASS	version 2.11.0
mplhep	PASS	version 1.3.3
particle	PASS	version 1.0.0
iminuit	SKIP	not installed (ModuleNotFoundError)
pandas	SKIP	not installed (ModuleNotFoundError)
uproot round-trip	PASS	TTree written and read back
ROOT (PyROOT)	SKIP	not installed (ModuleNotFoundError)
PYTHIA 8	SKIP	not installed (ModuleNotFoundError)
FastJet	PASS	version 3.5.1.4, anti-kT R=0.4 -> 2 jets
HepMC3 (pyhepmc)	PASS	version 2.16.1, GenEvent with 2 particles
LHAPDF	SKIP	not installed (ModuleNotFoundError)
